%,persen
beratttttttt,berat
berbah,berubah
berbakiti,berbakti
berbeda2,berbeda beda
berbhakti,berbakti
berbiiiiiihhh,barbie
berdikari,berdiri di atas kaki sendiri
berdikusi,berdiskusi
berenanh,berenang
berenti,berhenti
beres,selesai
beresin,membereskan
beresssss,selesai
ber'expresi,berekspresi
berfikir,berpikir
bergunaa,berguna
berhentiin,berhentikan
berhijap,berhijab
berhrp,berharap
berhsl,berhasil
beritain,beritakan
berjalann,berjalan
berjinah,berzina
berjln,berjalan
berkluarga,berkeluarga
berkomntar,berkomentar
berksinambungan,berkesinambungan
berlama2,berlama lama
bermainp,bermain
bermaksut,bermaksud
berngara,bernegara
berntung,beruntung
beropeni,beropini
berpa,berapa
berpikirlh,berpikirlah
berpungsi,berfungsi
bersampak,berdampak
bersatulahhhhh,bersatu
bersihin,bersihkan
bersma,bersama
bersmaa,bersama
bersnergi,bersinergi
berstatement,berpendapat
bersykur,bersyukur
bertany,bertanya
bertatto,bertato
berthn,bertahun
berti,berarti
bertobat,bertaubat
bertolernsi,bertoleransi
berumahtangga,berumah tangga
beruntungnyaaaa,beruntungnya
berusha,berusaha
berwnang,berwenang
besama,bersama
"besar""",besar besar
besar2an,besar besaran
besar2in,besar besarkan
besarin,membesarkan
besokkk,besok
besook,besok
best,terbaik
bet,banget
bete,bosan
beti,beda tipis
betol,betul
bets,banget
bettt,banget
betul2,betul betul
betulll,betul
betuulll,betul
betuuuuulllllllllllllllll,betul
beud,banget
beudd,banget
beut,banget
beye,susilo bambang yudhoyono
bf,pacar
bg,abang
bgaimana,bagaimana
bgaimanapun,bagaimanapun
bgd,banget
bgect,banget
bget,banget
bgettt,banget
bgi,bagi
bgini,begini
bginian,begini
bgitu,begitu
bgm,bagaimana
bgmana,bagaimana
bgmn,bagaimana
bgmna,bagaimana
bgmpun,bagaimanapun
bgn,bangun
bgnan,bangunan
bgni,begini
bgs,bagus
bgst,bangsat
bgt,banget
bgtt,banget
bgttt,banget
bgtttt,banget
bgttttttt,banget
bgtttttttt,banget
bgtu,begitu
bgtuu,begitu
bgun,bangun
bgus,bagus
bgussss,bagus
bhagaia,bahagia
bhagia,bahagia
bhakti,bakti
bhan,bahan
bhas,bahas
bhet,banget
bhg,bahagia
bhgia,bahagia
bhgiain,membahagiakan
bhijab,berhijab
bhkan,bahkan
bhkn,bahkan
bhn,bahan
bhnya,bahannya
bhongnya,bohongnya
bhrp,berharap
bhs,bahasa
bhubu,tidur
bhw,bahwa
bhwa,bahwa
biar pun,biarpun
biarin,biarkan
biasa2,biasa biasa
biasaa,biasa
biasaaa,biasa
biasaaaa,biasa
biasahhh,biasa
bibib,habib
bid,bidang
bidoh,bodoh
bigimana,bagaimana
bijak2,bijak bijak
bijimana,bagaimana
bijimane,bagaimana
bijin,bikin
bikin,buat
bikinan,buatan
bikinin,bikin
bikinnn,bikin
bila mana,bilamana
"bilang""",bilang bilang
bilang2,bilang bilang
bilangg,bilang
bilangin,bilang
bilanh,bilang
bilng,bilang
bimbuluh,bimbingan dan penyuluhan
binasaaaaaa,biasa
binggo,banget
bingiiit,banget
bingiiittttzzzz,banget
bingiiittzz,banget
bingiit,banget
bingiittt,banget
bingit,banget
bingits,banget
bingitss,banget
bingitsss,banget
bingitt,banget
bingittzz,banget
bingitz,banget
bingitzzzz,banget
bini,istri
bintal,bimbingan mental
bio,biografi
biosfir,biosfer
bird,biru
biri,biru
birthday,ulang tahun
bisaa,bisa
bisaaa,bisa
bisadong,bisa dong
bisax,bisanya
bisi,kalau kalau
biza,bisa
bjalan,berjalan
bju,baju
bjudi,berjudi
bka,buka
bkal,bakal
bkan,bukan
bkerja,bekerja
bkin,bikin
bkl,akan
bklan,bakalan
bkln,bakalan
bkn,bikin
bknlah,bukanlah
bknnya,bukannya
bkrj,bekerja
bkrjasma,bekerja sama
bl,beli
black,hitam
blajar,belajar
blakangnya,belakangnya
blakon,berlakon
blangsakan,brengsek
blegug,bodoh
bleh,boleh
blg,bilang
blh,boleh
bli,beli
bli2n,beli belikan
bliau,beliau
blik,balik
blim,belum
blio,beliau
bljr,belajar
blkang,belakang
blkg,belakang
blkgn,belakangan
blkng,belakang
blln,bulan
blm,belum
bln,bulan
blng,bilang
blnja,belanja
bloghhh,goblok
blom,belum
blon,belum
bloon,bodoh
bls,balas
blue,biru
blum,belum
bnchi,benci
bnci,benci
bnda,bunda
bner,benar
"bner""",benar benar
bner2,benar benar
bneraan,benaran
bneran,benaran
bnern,benaran
bnerr,benar
bng,bang
bngatt,banget
bngeeeetttt,banget
bngeet,banget
bnget,banget
bnget sekali,
bngett,banget
bngettt,banget
bngetttt,banget
bnggain,banggakan
bnggakan,banggakan
bngkit,bangkit
bngsa,bangsa
bngt,banget
bngtt,banget
bngttt,banget
bngtttt,banget
bngtzt,banget
bngun,bangun
bngung,bingung
bngunlah,bangunlah
bngy,banget
bnk,bang
bnr,benar
bnr2,benar benar
bnran,benaran
bnrn,benaran
bntar,bentar
bntr,bentar
bntu,bantu
bnuh,bunuh
bnyak,banyak
bnyk,banyak
bnykkkk,banyak
bobo,tidur
bobok,tidur
bodhoo,bodoh
bodhooo,bodoh
bodo,bodoh
bodor,lucu
body,badan
bohay,badan aduhai
bokap,ayah
bokep,porno
boker,berak
bokin,pacar
bokis,bohong
bol3h,boleh
bolaa,bola
bolakbalik,bolak balik
bolang,bocah petualang
bole,boleh
boleh2,boleh boleh
boljug,boleh juga
bolot,bodoh
bolpen,pulpen
bonek,bocah nekat
bonuspromo,bonus promo
bonyok,ayah ibu
boong,bohong
bo'ong,bohong
boongan,bohongan
boongnya,bohongnya
borjo,kaya
borju,kaya
boro2,boro boro
bosaan,bosan
bosen,bosan
bosen2,bosan bosan
bosenin,membosankan
boss,bos
botakin,botaki
botakkkk,botak
bowo,prabowo
boyeh,boleh
bp,bapak
bpak,bapak
bpk,bapak
bpkmu,bapakmu
bpknya,bapaknya
br,baru
brada,berada
bradegan,beradegan
brang,barang
brangnya,barangnya
brani,berani
branjak,beranjak
brantakan,berantakan
brantas,berantas
brantem,berantem
brapa,berapa
brarti,berarti
brasa,berasa
bravo,mantap
bravoo,bravo
brayyy,bray
brb,segera kembali
brbagai,berbagai
brbagei,berbagai
brbahaya,berbahaya
brbakti,berbakti
brbanding,berbanding
brbau,berbau
brbuat,berbuat
brcadar,bercadar
brda,berada
brdasar,berdasar
brdiri,berdiri
brdua,berdua
brduka,berduka
breng,bareng
brengsekk,brengsek
brenti,berhenti
bres,beres
brg,bareng
"brg""",bareng bareng
brhak,berhak
brharap,berharap
brhasil,berhasil
brhjb,berhijab
brhrp,berharap
brhsil,berhasil
brhsl,berhasil
brikutnya,berikutnya
brisi,berisi
brisik,berisik
brita,berita
britamu,beritamu
britanya,beritanya
brithday,ulang tahun
brjalan,berjalan
brjaya,berjaya
brjdh,berjodoh
brjenggot,berjenggot
brjodoh,berjodoh
brjuang,berjuang
brkaitan,berkaitan
brkata,berkata
brkunjun,berkunjung
brlaku,berlaku
brlangsung,berlangsung
brmain,bermain
brmnfaat,bermanfaat
brng,barang
brngkt,berangkat
bro,saudara laki laki
bronis,brondong manis
brooo,bro
brow,bro
brp,berapa
brpa,berapa
brpikirnya,berpikirnya
brpndapat,berpendapat
brprikemanusiaan,berperikemanusiaan
brrt,berarti
brrti,berarti
brsama,bersama
brsan,barusan
brseberangan,berseberangan
brsma,bersama
brsyukur,bersyukur
brt,berita
brtindak,bertindak
brtngkar,bertengkar
bru,baru
brubah,berubah
bruntung,beruntung
brur,saudara laki laki
brusaha,berusaha
bs,bisa
bsa,bisa
bsar,besar
bsen,bosan
bserta,beserta
bsk,besok
bsnya,bisanya
bsok,besok
bsr,besar
bsrta,beserta
bt,bosan sekali
btp,betapa
bts,batas
btuh,butuh
btuhkan,butuhkan
btul,betul
btulan,betulan
btw,ngomong ngomong
bu_bu,tidur
buaaangeet,banget
bualan,bohong
buangbuang,buang
buanget,banget
buangshat,bangsat
buanyaaak,banyak
buanyaaakkkk,banyak
buatin,buatkan
buaya,tidak setia
bubarin,bubarkan
bubbu,tidur
buber,buka bersama
bubu,tidur
bucara,bicara
budeg,tuli
bujngn,bujangan
bujubune,luar biasa
bujukk,bujuk
buka2,buka buka
buka2an,buka bukaan
bukak,buka
bukan'a,bukannya
bukankh,bukankah
bukann,bukan
bukanx,bukannya
bukn,bukan
bukti2,bukti bukti
buktiin,buktikan
buktinyaaa,buktinya
bulet,bulat
bumi putra,bumiputra
bumil,ibu hamil
bund,bunda
bundaa,bunda
bundaaa,bunda
bundaaaa,bunda
bunga2,bunga bunga
bungggg,bung
bungkusin,bungkuskan
bungkuuussss,bungkus
bungkuuuuuuuuusss,bungkus
buntinya,buktinya
burem,buram
buruan,segera
buruann,buruan
buruannn,buruan
busedh,buset
buseett,buset
buser,buru sergap
buuun,bun
buy,membeli
buyback,beli kembali
buyer,pembeli
buzzerbuzzer,buzzer
bw,bawa
"bwa""",bawa bawa
bwh,bawah
bwhannya,bawahannya
bwhn,bawahan
bwng,bawang
bwt,buat
bxbxs,bebas
byak,banyak
byangin,membayangkan
byar,bayar
byaran,bayaran
byk,banyak
byr,bayar
byrin,bayarkan
bz,bisa
c,sih
c8,chat
caaannnttiikkk,cantik
caantiiik,cantik
cabal,sabar
cabay,cabai
cabe,cabai
cabe2,cabe cabe
cabe2an,cabe cabean
cabinet,kabinet
cabol,cabul
cabut,pergi
cadas,keren
cadasss,cadas
caem,cakep
cakeeeeppp,cakep
cakeep,cakep
cakepp,cakep
cali,caci
calo,makelar
calooon,calon
cama cama,sama sama
cama-cama,sama sama
campurin,mencampuri
can,belum
cancel,dibatalkan
canci,cantik
cangcut,celana dalam
cannnnntikkkkkkk,cantik
cannntikk,cantik
cans,cantik
cansel,dibatalkan
cansino,casino
canteek,cantik
canti,cantik
cantiiiiiiik,cantik
cantiiiik,cantik
cantiiiikk,cantik
cantiiik,cantik
cantiiikk,cantik
cantiiikkk,cantik
cantiiillx,cantik
cantiik,cantik
cantiik2,cantik cantik
cantiikk,cantik
cantiikkkk,cantik
cantik2,cantik cantik
cantik2nya,cantik cantiknya
cantika,cantik
cantikk,cantik
cantikkk,cantik
cantikkkk,cantik
cantikkkkk,cantik
cantikkkkkk,cantik
cantikkkkkkkk,cantik
cantikkkm,cantik
cantiknnnnyaaaaaaa,cantiknya
cantiknyaa,cantiknya
cantiknyaaa,cantiknya
cantiknyaaaaa,cantiknya
cantiks,cantik
cantikx,cantiknya
cantinya,cantiknya
cantip,cantik
cantiq,cantik
cantiqs,cantik
cantix,cantik
cantk,cantik
canttikkk,cantik
canttttikkk,cantik
canyk,cantik
capa,sapa
capai,raihan
capcus,pergi
cape,capek
capee,cape
capek,lelah
caper,cari perhatian
caranga,caranya
card,kartu
care,peduli
carger,charger
cari2,cari cari
cariin,carikan
carut-marut,karut marut
cas,charge
catiiiiik,cantik
catokin,catok
catur warga,caturwarga
catur wulan,caturwulan
caur,jelek
caya,percaya
cayalah,percaya
cb,coba
cba,coba
ccd,cacat
ccok,cocok
cct,cacat
cd,celana dalam
ce,cewek
cebongerssss,cebong
ceemen,cemen
cek2,cek cek
cekak,tidak ada uang
cekal,cegah tangkal
cekidot,coba lihat
ceklist,ceklis
cem,macam
cemana,bagaimana
cembetut,cemberut
cemburuu,cemburu
cemen,penakut
cemilan,camilan
cemplungin,cemplungkan
cempreeng,cempreng
cendekiawanjudi,cendekiawan judi
cendikia,cendekia
cendrawasih,cenderawasih
cengengesan,tertawa
cengkeh,cengkih
centillll,centil
centilnyaaaaaa,centilnya
central,sentral
ceper,pendek
cepet,cepat
cepet2,cepat cepat
cepetan,cepatan
cepetanlah,cepatlah
cerdass,cerdas
cerdiik,cerdik
ceret,cerek
ceritax,ceritanya
certdas,cerdas
cetaaaar,cetar
cetdas,cerdas
ceu,kakak perempuan
ceumungut,semangat
cew,cewek
cewe,cewek
cewer,jewer
chelalyyu,selalu
china,cina
choice,pilihan
choker2,choker choker
chuyunk,sayang
cian,kasian
ciapa,siapa
cibuk,sibuk
cidera,cedera
ciee,cie
cieee,cie
cieeee,cie
cieeeee,cie
ciieeeeeee,cie
ciiieee,cie
cikidot,coba lihat
cilik,kecil
cimeng,ganja
cin,cinta
cinak,cina
cinderamata,cenderamata
cinggirnyaaaa,cinggirnya
cini,sini
cino,cina
cintaaaaaaa,cinta
cintax,cintanya
cip,sip
cipika cipiki,cium pipi kanan cium pipi kiri
ciptain,ciptakan
cita2,cita cita
ciumman,ciuman
ciusss,serius
ciuuuummmm,cium
ciye,cie
ciyeeee,cie
ciyeeeeeee,cie
ciyh,sih
